source_image,crop_image,status,text,bbox_xyxy,note
L3I_IMG_0001.jpg,crops/L3I_IMG_0001_r1.png,ok,បាយស្រូប,"[96, 537, 828, 750]",
L3I_IMG_0001.jpg,crops/L3I_IMG_0001_r2.png,ok,បឋម,"[96, 537, 828, 750]",
L3I_IMG_0001.jpg,crops/L3I_IMG_0001_r3.png,ok,អេស៊ីលីដា,"[1226, 732, 1436, 844]",
L3I_IMG_0002.jpg,crops/L3I_IMG_0002_r1.png,ok,សាលពិព័រណ៍វិមានសុខា,"[200, 482, 480, 546]",
L3I_IMG_0003.jpg,crops/L3I_IMG_0003_r1.png,ok,សារមន្ទីរ វិមានសុខា,"[176, 210, 406, 265]",
L3I_IMG_0004.jpg,crops/L3I_IMG_0004_r1.png,ok,សាច់អាំងទឹកកាពិ,"[531, 497, 1294, 689]",
L3I_IMG_0005.jpg,crops/L3I_IMG_0005_r1.png,ok,ស្ទូឌីយោ,"[956, 1428, 1814, 1911]",
L3I_IMG_0005.jpg,crops/L3I_IMG_0005_r2.png,ok,លេខ7,"[939, 1628, 1854, 2241]",
L3I_IMG_0006.jpg,crops/L3I_IMG_0006_r1.png,ok,ផ្ទះសម្រាប់ជួល,"[850, 1603, 1324, 1884]",
L3I_IMG_0007.jpg,crops/L3I_IMG_0007_r1.png,ok,សារមន្ទីរជាតិ,"[780, 1942, 1678, 2193]",
L3I_IMG_0008.jpg,crops/L3I_IMG_0008_r1.png,ok,៩វិច្ឆិកា ១៩៥៣,"[987, 1305, 1471, 1469]",
L3I_IMG_0008.jpg,crops/L3I_IMG_0008_r2.png,ok,ខួបទី៦៣ឆ្នាំ,"[1885, 1423, 2288, 1570]",
L3I_IMG_0008.jpg,crops/L3I_IMG_0008_r3.png,ok,៩វិច្ឆិកា២០២១,"[2719, 1327, 3193, 1484]",
L3I_IMG_0008.jpg,crops/L3I_IMG_0008_r4.png,ok,អបអរសាទរ ទិវាបុណ្យឯករាជ្យជាតិ,"[828, 1703, 3355, 2084]",
